Ticker,Date,Strategy,EntryPrice,MarketRegime,Ret5d,SpyRet5d,BeatSpy5d,Ret10d,SpyRet10d,BeatSpy10d,Ret20d,SpyRet20d,BeatSpy20d
DIS,2026-03-20,box_bottom,99.51,bear,-7.12,-2.23,false,-3.25,1.60,false,6.82,9.27,false
DIS,2026-03-25,box_bottom,95.95,bear,0.64,-0.24,true,4.00,3.52,true,8.03,7.86,true
DIS,2026-05-06,squeeze_breakout,108.06,bull,-2.92,1.16,false,-3.68,1.01,false,-8.07,3.17,false
DIS,2026-06-11,box_bottom,100.34,bull,3.54,1.22,true,-1.54,-1.19,false,-4.33,1.55,false
DIS,2026-07-13,box_bottom,96.00,bull,0.00,0.00,false,0.00,0.00,false,0.00,0.00,false
DLR,2025-11-18,box_bottom,159.62,bear,-1.41,2.26,false,0.04,3.61,false,-7.04,1.71,false
DLR,2025-11-24,box_bottom,159.01,bear,-1.58,1.91,false,2.36,2.14,true,-3.23,2.88,false
DLR,2025-11-25,box_bottom,157.37,bull,1.47,1.31,true,1.36,1.86,false,-1.39,2.28,false
DLR,2025-12-19,box_bottom,149.99,bull,3.77,1.07,true,4.53,1.65,true,6.01,0.71,true
DOC,2025-12-11,box_bottom,16.68,bull,-1.62,-1.84,true,-3.42,0.17,false,0.78,0.87,false
DOC,2025-12-15,box_bottom,16.66,bull,-3.72,0.60,false,-2.88,0.92,false,3.60,1.41,true
DOC,2025-12-22,box_bottom,16.04,bull,0.87,0.32,true,5.61,0.69,true,10.91,0.61,true
DOV,2025-10-14,box_bottom,162.55,bull,6.45,1.37,true,10.56,3.75,true,13.18,3.14,true
DOV,2026-03-16,box_bottom,207.42,bear,2.35,-2.04,true,-2.22,-5.54,true,5.33,3.80,true
DOV,2026-05-22,box_bottom,209.90,bull,-1.12,1.73,false,3.00,-0.86,true,6.50,-1.62,true
DPZ,2026-01-09,box_bottom,405.09,bull,-1.19,-0.35,false,2.18,-0.19,true,-3.19,-0.02,false
DTE,2025-11-05,box_bottom,134.00,bull,4.69,0.86,true,0.78,-2.21,true,-1.37,1.01,false
DTE,2025-12-03,box_bottom,133.18,bull,-2.40,0.54,false,-3.22,-1.83,false,-2.12,-0.11,false
DTE,2025-12-11,box_bottom,130.75,bull,-0.65,-1.84,true,-1.30,0.17,false,-0.34,0.87,false
DUK,2025-11-05,box_bottom,123.77,bull,0.11,0.86,false,-1.24,-2.21,true,-4.69,1.01,false
DUK,2025-12-09,box_bottom,115.24,bull,0.30,-0.61,true,1.35,0.72,true,1.80,0.95,true
DUK,2025-12-12,box_bottom,115.30,bull,0.23,-0.17,true,1.93,0.89,true,1.81,1.76,true
DVA,2025-10-15,box_bottom,126.00,bull,2.44,0.40,true,0.44,3.34,false,-1.90,2.74,false
EA,2026-05-13,box_bottom,200.18,bull,0.70,-0.14,true,0.48,1.66,false,1.43,-0.61,true
EA,2026-05-14,box_bottom,200.78,bull,0.54,-0.73,true,0.47,1.11,false,1.24,-0.86,true
ECL,2026-03-17,box_bottom,272.59,bear,-2.97,-2.63,false,-2.41,-3.05,true,-0.81,4.35,false
ECL,2026-04-30,box_bottom,260.60,bull,-1.55,1.80,false,-4.50,4.11,false,-1.77,5.26,false
ECL,2026-05-12,box_bottom,251.70,bull,-2.37,-0.60,false,4.32,1.66,true,2.10,-1.73,true
ECL,2026-05-15,box_bottom,247.62,bull,2.30,0.88,true,1.15,2.62,false,8.46,2.12,true
ECL,2026-05-18,box_bottom,249.21,bull,2.01,1.62,true,2.83,2.83,false,9.90,1.58,true
ED,2025-11-04,box_bottom,97.96,bull,1.66,1.15,true,5.05,-2.25,true,-1.54,1.28,false
ED,2025-12-09,box_bottom,95.82,bull,3.21,-0.61,true,3.27,0.72,true,4.55,0.95,true
